PassengerId,Survived
892,No
893,No
894,No
895,No
896,No
897,No
898,Yes
899,No
900,Yes
901,No
902,No
903,No
904,Yes
905,No
906,Yes
907,Yes
908,No
909,Yes
910,Yes
911,No
912,No
913,Yes
914,Yes
915,No
916,Yes
917,No
918,Yes
919,No
920,No
921,Yes
922,No
923,No
924,Yes
925,No
926,No
927,No
928,No
929,No
930,No
931,No
932,No
933,No
934,No
935,Yes
936,Yes
937,No
938,No
939,No
940,Yes
941,Yes
942,No
943,No
944,Yes
945,Yes
946,No
947,No
948,No
949,No
950,No
951,Yes
952,No
953,No
954,No
955,Yes
956,Yes
957,Yes
958,Yes
959,No
960,No
961,Yes
962,Yes
963,No
964,No
965,Yes
966,Yes
967,No
968,No
969,Yes
970,No
971,Yes
972,Yes
973,No
974,No
975,No
976,No
977,No
978,Yes
979,Yes
980,Yes
981,Yes
982,No
983,No
984,Yes
985,No
986,No
987,No
988,Yes
989,No
990,Yes
991,No
992,Yes
993,No
994,No
995,No
996,Yes
997,No
998,No
999,No
1000,No
1001,No
1002,No
1003,Yes
1004,Yes
1005,Yes
1006,Yes
1007,No
1008,No
1009,Yes
1010,No
1011,Yes
1012,Yes
1013,No
1014,Yes
1015,No
1016,No
1017,Yes
1018,No
1019,Yes
1020,No
1021,No
1022,No
1023,No
1024,No
1025,No
1026,No
1027,No
1028,No
1029,No
1030,No
1031,No
1032,No
1033,Yes
1034,No
1035,No
1036,No
1037,No
1038,Yes
1039,No
1040,No
1041,No
1042,Yes
1043,No
1044,No
1045,Yes
1046,No
1047,No
1048,Yes
1049,Yes
1050,Yes
1051,Yes
1052,Yes
1053,Yes
1054,Yes
1055,No
1056,No
1057,No
1058,Yes
1059,No
1060,Yes
1061,No
1062,No
1063,No
1064,No
1065,No
1066,No
1067,Yes
1068,Yes
1069,No
1070,Yes
1071,Yes
1072,No
1073,Yes
1074,Yes
1075,No
1076,Yes
1077,No
1078,Yes
1079,No
1080,No
1081,No
1082,No
1083,No
1084,Yes
1085,No
1086,Yes
1087,No
1088,Yes
1089,Yes
1090,No
1091,No
1092,Yes
1093,Yes
1094,No
1095,Yes
1096,No
1097,No
1098,No
1099,No
1100,Yes
1101,No
1102,No
1103,No
1104,No
1105,Yes
1106,No
1107,No
1108,Yes
1109,No
1110,Yes
1111,No
1112,Yes
1113,No
1114,Yes
1115,No
1116,Yes
1117,No
1118,No
1119,Yes
1120,No
1121,No
1122,No
1123,Yes
1124,No
1125,No
1126,No
1127,No
1128,No
1129,No
1130,Yes
1131,Yes
1132,Yes
1133,Yes
1134,No
1135,No
1136,No
1137,Yes
1138,Yes
1139,No
1140,Yes
1141,No
1142,Yes
1143,No
1144,No
1145,No
1146,No
1147,No
1148,No
1149,Yes
1150,Yes
1151,No
1152,No
1153,No
1154,Yes
1155,Yes
1156,No
1157,No
1158,No
1159,No
1160,No
1161,No
1162,No
1163,No
1164,Yes
1165,Yes
1166,No
1167,Yes
1168,No
1169,No
1170,No
1171,No
1172,No
1173,Yes
1174,Yes
1175,No
1176,Yes
1177,No
1178,No
1179,No
1180,No
1181,No
1182,No
1183,No
1184,No
1185,No
1186,No
1187,No
1188,Yes
1189,Yes
1190,No
1191,No
1192,No
1193,Yes
1194,No
1195,No
1196,Yes
1197,Yes
1198,No
1199,Yes
1200,No
1201,No
1202,No
1203,No
1204,No
1205,No
1206,Yes
1207,Yes
1208,No
1209,No
1210,No
1211,No
1212,No
1213,No
1214,No
1215,No
1216,Yes
1217,No
1218,Yes
1219,No
1220,No
1221,No
1222,Yes
1223,No
1224,No
1225,No
1226,No
1227,No
1228,No
1229,No
1230,No
1231,No
1232,No
1233,No
1234,Yes
1235,Yes
1236,No
1237,No
1238,No
1239,No
1240,No
1241,Yes
1242,Yes
1243,No
1244,No
1245,No
1246,Yes
1247,No
1248,Yes
1249,No
1250,No
1251,No
1252,No
1253,Yes
1254,Yes
1255,No
1256,Yes
1257,No
1258,No
1259,No
1260,Yes
1261,No
1262,No
1263,Yes
1264,No
1265,No
1266,Yes
1267,Yes
1268,No
1269,No
1270,No
1271,No
1272,No
1273,No
1274,Yes
1275,Yes
1276,No
1277,Yes
1278,No
1279,No
1280,No
1281,Yes
1282,No
1283,Yes
1284,No
1285,No
1286,No
1287,Yes
1288,No
1289,Yes
1290,No
1291,No
1292,Yes
1293,No
1294,Yes
1295,No
1296,Yes
1297,No
1298,No
1299,No
1300,Yes
1301,Yes
1302,Yes
1303,Yes
1304,Yes
1305,No
1306,Yes
1307,No
1308,No
1309,Yes
